Yorum,Puan,Tarih,Durum
sıfır yıldız olsa sıfır verirdim millet sil supurden interneti yedi bitirdi bizim turccel salla kazan diyor salliyoruz tam haftadır günlük bipten dk yada normal yüz dk yeter artık valla uygulamayı silecm artık hediyeleri değiştirin aynı ayni,1,2021-02-12 10:03:34,0
zmandır yapıyorum bi düzgün internet çıkmadıtürkiyenin iyi oparatölerinden geçtim maddi durumlar belli şöyle gb bari verin şimdi tekrar silip yükleyeceğm bir umut düzgün bisey verilir,1,2021-02-12 10:02:00,0
bozukmal,1,2021-02-12 09:55:08,0
harika,5,2021-02-12 09:37:20,1
süper,5,2021-02-12 09:34:37,1
internet cok çabuk bitiyo,1,2021-02-12 09:21:44,0
nerdeyse aydır salla kazan sadece bip veriyor internet vermiyor ayda bir salla kazan hakkını kullandirmiyor iyiki taahhütlü yaptırmadım oysaki başka operatörden geçmiştim gidişle yine eski operatörume geçerim turkcell kesinlikle pişmanlıktır,1,2021-02-12 09:15:40,0
guzel bir uygulama son zamanlarda donmaya basladi yanit vermemeye başladı,2,2021-02-12 09:10:29,0
sala kazan olmuyor,5,2021-02-12 09:06:50,1
cokiyiacilmasini istiyorum,5,2021-02-12 09:02:26,1
güzell,5,2021-02-12 09:02:23,1
beğendim herkes benimde sorunlarım var başta güzeldi bir internet aldığımda çoğu internetim gidiyor,1,2021-02-12 08:41:32,0
süper bir uygulama,5,2021-02-12 08:34:43,1
berbat uygulama hayatımda turkcell kadar pinti kan emici bir kuruluş görmedim haftalardır salla kazandan bip birşeyler çıkıyor sms çıkıyor yahu sms mi kaldı devirde telekom sizin vampir olmasına rağmen işe yarar hediyeler veriyor zamanki turkcellin işleri yine göstermelik kazançlı olduğu şeyleri tabikide küçük yazıyorlar,1,2021-02-12 08:34:19,0
salla kazandan internet kazandım gelmedi biçim uygulama,1,2021-02-12 08:26:43,0
yeni telefona geçince yukledigim uygulama hicbir şekilde ana ekrandan başka seçenek açmıyor,1,2021-02-12 08:22:35,0
önceleri iyiydi şimdi fatura bilgilerime bakabiliyorum nede internetime birtarafları kalktı türkselin yakında türkseli bırakacağım kzıksınız kurnazsınız herşey pahalı aç gözlü olmuşsunuz bir türlü doymuyorsunuz yeter insanları kandırdığınız yazık size,2,2021-02-12 07:54:42,0
iyi,5,2021-02-12 07:47:21,1
olumlu sonuç alıyorum teşekkürler,5,2021-02-12 07:45:03,1
i cok guzel fatura odememi kolayca hal ediyorum,5,2021-02-12 07:36:47,1
iyi,5,2021-02-12 07:31:32,1
süper,5,2021-02-12 07:14:43,1
operatörü kullandım döndüm dolaştım yine geldim iyisi türkcell aferin yeğenlerim maaşallah güzel programlar yapacaksınız inanıyorum gözlerinizden öpüp tebrik ediyorum aferin,5,2021-02-12 06:43:23,1
i geliştirmeler yapılabilir,4,2021-02-12 06:39:25,1
sırf yorum yapabilmek üzere indirdim tek kelimeyle uygulamanız berbat yildizi bile hak etmiyorsunuz tek yildızida mecbur veriyorum yoksa yorumum yayinlanmiyor uygulamaya kayit olmaya çalıştım defalarca hata verip duruyor sisteme giremedim sırf modemin şifresini değisebilmek yukledim musteri hizmetleri buraya yonlendirdi telefonumda hat olarak sizi kullanmiyorum ev internetini kullaniyorum hos ondanda memnun değilim sadece burda çeken tek sizin kotaniz var mecbur kaldim,1,2021-02-12 06:31:51,0
deneyen pişman olmaz,5,2021-02-12 02:32:52,1
kadar sacmakki giriş yapamiyorim resmen iki tane reklam koymusunuz anasayfaya gecmiyor uygulamaya girelimbiri şunu ogretsin biktim sacmaliktan,1,2021-02-12 02:31:50,0
süperr,5,2021-02-12 02:17:48,1
turkcell salla kazan hediyelerinden memnun degilim saatlik internet nedir haftalık gb gb versene yada olsa aylık gb gb internet hediyelerinden memnun degilim değiliz sevgiler,1,2021-02-12 02:12:45,0
salla kazanda artık aynı şeyler çıkıyor bip dakika çıkıyor eskiden günlük olsa internet çıkıyordu bir iki seçenek koymuşlar dakika sms iki ucu boklu değnek resmen,1,2021-02-12 01:37:32,0
güzel bir uygulama,5,2021-02-12 01:18:13,1
berbat,1,2021-02-12 01:16:49,0
dijital operatör beş para etmiyorsun yıldır türkseldeyim attık çıkacam,1,2021-02-12 01:16:25,0
turckcellin tek pozitif özelliği çekmesi paketinin pahalı olması internet vermemesi müşterilerinin başka operatörlere yönelmesine sebep oluyor bunu çevremde birçok örnek defalarca gördüm böyle olmasının sebebini turkcellin enayiliği olarak görüyorum,2,2021-02-12 01:09:25,0
anladım,1,2021-02-12 00:59:13,0
sen anan,5,2021-02-12 00:46:52,1
iyi,5,2021-02-12 00:35:41,1
ilk başta internet veriyordun şimdi gereksiz yerde bir cibayt veriyor iyi degil,5,2021-02-12 00:34:22,1
brawl brawoooo,5,2021-02-12 00:20:11,1
felakettt,5,2021-02-12 00:18:21,1
ay hesap ek kaldır yaparak faturamı görebiliyorum yanlış yapmıyorsam hesabımda güncel faturamı göremiyorum,5,2021-02-12 00:15:20,1
güzel miş,5,2021-02-12 00:13:52,1
herkese salla kazandan gb lar gelirken bana bip gb bilmem be saçma sapan öğrenciyim birde bir yararını görmedim,1,2021-02-12 00:11:59,0
güzel uygulama,5,2021-02-12 00:09:17,1
iyi,5,2021-02-12 00:09:12,1
salla kazandan ayda yılda bir net alırdık oda yok artık sürekli dakka çıkıyor kisa zamanda hattımı baska operatöre tasiycam turkcell bozuldu,1,2021-02-12 00:08:34,0
dijital operator iyi bi uygulama sadece hediyelri biraz,5,2021-02-12 00:03:03,1
ik başta giriş yapım on sonra gırş yapmadım uygulam girş yapmiyom,1,2021-02-11 23:54:56,0
awasome,5,2021-02-11 23:50:54,1
indirdim kendi kendisine siliniyor bende anlamadım biçim bir uygulama,5,2021-02-11 23:50:22,1
süper,5,2021-02-11 23:31:17,1
internet kazandırmıyor,2,2021-02-11 23:10:00,0
süpersin,5,2021-02-11 23:04:08,1
cok güze,5,2021-02-11 22:56:53,1
güzel bir uygulama anlatmaya gerek yok zaten yıldızı hak ediyor,5,2021-02-11 22:52:55,1
giris bile yapamıyorum,1,2021-02-11 22:51:02,0
yalan güzel,5,2021-02-11 22:45:56,1
yıldız bile fazla fatura ödeyeceğiz atla karayı seçiyoruz adam akıllı bi uygulama yapın,1,2021-02-11 22:34:06,0
bilgi verilerime zarar veriyor,1,2021-02-11 22:19:54,0
sabahtan beridir yuklemeye calışıyorum nedense yuklenemedi koye gideceğim icin turkcelle cevirdim son turkcelle burdan allah belanızı versin diyorum yazık kadar insan senin hatını kulanıyor sen iyi şeyler yapmak yerine kotuye gidiyorsun yıldız bile vermek istemiyorum kadar kötu bir operatörsunki allah belanı versin,1,2021-02-11 22:10:08,0
kadar denersem deneyeyim hesabıma giremiyorum şifremi defasında doğru girmeme rağmen yanlış olduğunu söylüyor değiştirmeye çalıştım işe yaramadı yüklemeyin telefonunuzda boşuna yer kaplar,1,2021-02-11 22:05:35,0
güzel kadar kötü yorum var ben ce türkiye almayadaki iyi operatör uygulaması,5,2021-02-11 22:02:37,1
sayfalarda geri tusu yok telefonun geri tusunu kullanıncada uygulamadan cikiyorsinir bozucu once boyle degildi,1,2021-02-11 21:57:35,0
süper,5,2021-02-11 21:48:28,1
kayıt olamıyorum hata veriyor,1,2021-02-11 21:46:01,0
turkcell super bir hat,5,2021-02-11 21:33:36,1
yeni basliyor hayat,1,2021-02-11 21:26:21,0
kadar kötü kadar yavaş kadar işlev fonksiyonu düşük bir uygulama neredeyse görmedim turkcell bir şirkete yakışmıyor,1,2021-02-11 20:42:08,0
güzel bi uygulama,5,2021-02-11 20:39:59,1
başarılı,5,2021-02-11 20:38:34,1
güzel,5,2021-02-11 20:38:27,1
yavaş sürekli arıza veriyor kart ödemeleri zor uzan zaman tadilat sürüyor turkcell e yakışmıyor,1,2021-02-11 20:22:42,0
kötü,5,2021-02-11 19:58:56,1
salla kazan indiyorum,5,2021-02-11 19:56:39,1
iki kelimeyle güzel,5,2021-02-11 19:41:11,1
işe yaramaz kazıkcılar,1,2021-02-11 19:21:52,0
güzel bi uygulama ben beğendim salla kazan bence pazartesi çarşamba bide cuma günü olmalı herkes cuma gününü bekliyo bence böyle olmalı,4,2021-02-11 18:58:39,1
selam ben mehmet ben türselebaşladım hayata ben sala kazan yapıyom bana satlik veriyı,5,2021-02-11 18:36:21,1
zorla mağaza uygulaması yuklettiriyorsunuz,1,2021-02-11 18:25:54,0
rezil,1,2021-02-11 18:10:06,0
internet kötü memnun değilim,1,2021-02-11 18:02:54,0
hediyelerin yükselmesini bekliyoruz kaç senedir lütfen çözüm yaratın,1,2021-02-11 17:50:15,0
arkadaşlar uygulama yazmıyorum süper online olarak tamamen kötü kasım ayında yeni sözleşme imzaladım sözleşmeye göre tv plus cihazı gelecekti anca şubatın sekizinde geldi arada bahane olarak stoklarımızda tükenmiştir dediler sonra benim iznim olmadan sözleşmeyi kendi kafalarına göre sözleşmeyi iptal ettiler müşteri hizmetlerini aradım bana dediler sizin kendi isteğinize iptal edilmiştir ben böyle bir istekde bulunmadığımı beyan ettim yalancı dolanci,1,2021-02-11 17:10:24,0
iyi,5,2021-02-11 15:00:15,1
bir yıldızı bile hak etmiyor,1,2021-02-11 14:14:52,0
iyi,5,2021-02-11 13:58:01,1
hediye havuzunu tikladigimda uygulama kapaniyor,2,2021-02-11 12:59:11,0
yeryüzünde görebileceğiniz kötü uygulama,5,2021-02-11 12:46:54,1
yavaş sürekli hata veriyor,1,2021-02-11 12:41:32,0
iyi,5,2021-02-11 12:20:49,1
güzel,5,2021-02-11 12:12:03,1
,5,2021-02-11 11:30:34,1
,5,2021-02-11 10:57:09,1
pahalı,2,2021-02-11 10:51:48,0
mükemmel,5,2021-02-11 10:43:49,1
çoook iyilik,5,2021-02-11 10:42:39,1
bir uygulama yapmışsınız arkadaş şifremizi unuttuk diyoruz saçma sapan şeyler çıkıyor telefon nunaramdan email adresimden doğrulama yapmaya çalışıyorum olmuyor programı geliştiren adama buradan selam söylüyorum,1,2021-02-11 10:40:53,0
otomatik talimatim var gelecek aya fec odeme bedeli yansitilmis yardim kismindan soruyorum maalesef uzmanlik alanim degil baska soru dedi cok berbat bir operatör sisteminiz var,1,2021-02-11 10:10:40,0
sakın indirin nede hizmetinden yararlanın kopmalar oluyordu çözüm bulamadilar eba dan kaynaklanıyor dediler ben kapattım modemi bayi aracılığıyla iade ettim bayi başkasına vermiş modemi bildirmemiş ay sonra fatura geldi bende bana verdikleri çıktıyı bulamiyorum ay geçmis faturayı ödemem gerekiyor boştan yere böyle bir kurum bence bulaşmayin derim ben,1,2021-02-11 10:08:01,0
dert yandınız herkes kendi derdini yazmış çözüm bulacaklar boş boş yorumlar gayet iyi bir uygulama bence turkcell diğer operatorlere göre fazla hediye veriyor tabi kullanmasını bilene,5,2021-02-11 09:51:18,1
tbrkler güzel,5,2021-02-11 08:33:21,1
,5,2021-02-11 08:28:19,1
hersey hemen cozuluyo,5,2021-02-11 06:10:23,1
tek kelimeyle harika çekiyor ailem,5,2021-02-11 05:44:06,1
arkadaşlar ben yaklaşık senedir türkcellliyim ayda iki paket tl yapmama ragmen türkcell bana bir kampanya sunmuyo yeni müşterilere güzel kampanyalar veriyolar bilemedin sene suruyo sonra türkcell pahalı paketler sunuyo sana ben türkcell kullandığım sürece mutlu olmadim bir şekilde müşterilerini dinlmiyo yardımcı olmuyorlar artık vodofoneye geçicem,1,2021-02-11 03:50:37,0
sala kazan internet vermiyor,1,2021-02-11 02:57:04,0
superonline hesabımı bir türlü kabul etmiyor müşteri hizmetleri bile yardımcı olamadı platinum müşterisi olmama rağmen,1,2021-02-11 02:26:18,0
superrr,5,2021-02-11 00:54:02,1
,5,2021-02-11 00:50:34,1
iyi,5,2021-02-10 23:22:12,1
bayıldım,5,2021-02-10 23:17:12,1
işe yaramıyor uygulama daima gb internet veriyo,1,2021-02-10 23:08:29,0
salla kazandan sürekli dk geliyor bana ben dk değil internet istiyorum önceden olduğu internet sağlanmazsaniz diğer firmalardan farkınız kalmkcaktir benim diğer kullanıcılar içindir sözüm,1,2021-02-10 23:05:22,0
bir yıldızı bile haketmiyosunda olmuyo dolandılıcı resmen ilk deva ay internetim bana yetmedi ek paket alayım dedim ek paketler faturamdan palı sırf bi hafta kalkıp bi paket parası vermeye mecbur ediyosunuz böyle rezilik böyle soyguncu fırsatcı görmedim vodevon kactık beter cıktı aklı olan türkcelli olmaz artık müşterilerinizin sesini duyun,1,2021-02-10 22:31:20,0
cok yavas,1,2021-02-10 22:28:16,0
harika,5,2021-02-10 22:25:12,1
kötü geri tiki yok yavaş uygulamanız berbat,1,2021-02-10 21:44:25,0
kdr,1,2021-02-10 21:32:19,0
yoooo sıcağ,1,2021-02-10 21:30:52,0
eyu,5,2021-02-10 21:20:20,1
güzel olmuş sefer iyi olmamış,5,2021-02-10 21:14:45,1
bile fazla,1,2021-02-10 21:09:02,0
kötüleyen arkadaslarima sesleniyorum babam vodafone kullanicisi hattina tanimli paket iptal olmuş yeni paket yüklemek hattina uygun olan paketi seçtik hatti içinde direkt kredi karti bilgisi istemeden onayladi meğersem hatta tanimladiklari paketler faturali paketlermiş hiçbir on bilgi verilmiyor vodafonede şansli cark kullanabilmek tl yatirman gerekiyor turkcell oyle değil dijital operatörde paket ayri faturaliya geçiş ayri vodafone kurban olsun türkcelle,5,2021-02-10 20:50:17,1
mükemmel,5,2021-02-10 20:48:22,1
yeye,1,2021-02-10 20:38:38,0
güzel kullanışlı işlerimi kolaylikla hallettigim gayet rahat bi uygulama beğenerek kullaniyorum,5,2021-02-10 19:40:19,1
güzel oyglima,5,2021-02-10 19:21:08,1
bence iyi bir uygulama,5,2021-02-10 18:43:10,1
uygulamada bir sorun yok sorun turkcellde aşırı yüksek fiyat kalitesiz hizmet,1,2021-02-10 18:20:33,0
cok iyi,5,2021-02-10 17:59:35,1
yıldır türkcell hattı kullanıyorumson aydır dijital operatöre giripte yeterli tlm olduğu halde tlmi pakete çeviremiyorumtl yetersiz mesajı gelmektetürkcell bayisine gidipte tl yüklemesi yapmak istediğimde hattınızda kısıtlama var demektelertl yüklemesi yapılamadımüşteri hizmetlerini aradığımda hattınızda sorun yok demektelerbayi bayi geziyorsuntl yüklüyorsunpakete çeviremiyorsuntekrar müşteri hizmetlerini arıyorsun kereliğine işlemi gerçekleştiriyorlarparanla rezil oluyorsun,1,2021-02-10 17:53:44,0
internet fjdj,5,2021-02-10 17:48:35,1
,5,2021-02-10 17:08:26,1
iğrenç bir uygulama kahrol turkcell sömürücü,1,2021-02-10 17:01:18,0
internet vermiyor versede saatlik veriyor çekmiyor buna bi çözüm bulun,1,2021-02-10 16:57:50,0
bayildim,5,2021-02-10 16:49:28,1
herkes yildiz vermis uygulama gayet iyi yavas olma sorunu cihaza bagli uygulama gayet hizli,5,2021-02-10 16:45:55,1
,1,2021-02-10 16:35:44,0
istedim yerlerde çakmıyorsun boş yerlerde milletin parası ni yiyorsun,1,2021-02-10 16:34:55,0
iyi,5,2021-02-10 16:15:58,1
gerçekten salla kazan kadar iğrenç görmedim sözleşmem biter bitmez ayrılacam ailemle beraberdiğer öparetörlere baktığım zaman silsüpür vs haftalık gb günlük gb veriyor canlı derslere yetiştiremiyoz illa lirmı harcamak lazım biraz hizmet dersiniz olsun,1,2021-02-10 15:55:29,0
salla kazandan haftalık internetler verin saçma sapan hediyeler istemiyorum,1,2021-02-10 15:52:01,0
iyi,5,2021-02-10 15:50:43,1
güzel,4,2021-02-10 15:32:22,1
iyi,5,2021-02-10 15:27:45,1
iyi değil indirmeyin,1,2021-02-10 15:22:36,0
bence gayet güzel görünüyor,5,2021-02-10 15:09:44,1
mobil telefonum türkcell operatöründe değil hatti turkcelde olanlarin ekrani farkli olabilir bilmiyorum evime gün önce superonline ev interneti bağlantım uygulama üzerinden superonline hesabımı ekledim ancak kapatıp tekrar girdiğimde bilgilere erisemedigim ekranda gelmiyor görünmüyor seferinde görünmeyen hesabı kaldırıp tekrar eklemek gerekiyor saçma asla kullanıcı dostu değil,1,2021-02-10 15:02:18,0
fatura bilgilerimi kontrol edemiyorum hiçbir şekilde sayfaya giremiyorum hata sonra tekrar deneyin diyor bir uygulama,1,2021-02-10 14:26:29,0
kötüyavaş kullanışsızhatalısıkıntılı başarısız bir uygulamayı indirdikten sonra tekrar silerek ben hata yaptım,1,2021-02-10 14:09:18,0
süper iletişim,5,2021-02-10 14:05:16,1
güzel,5,2021-02-10 14:04:21,1
güzel,5,2021-02-10 13:50:32,1
ramazanata,5,2021-02-10 13:37:54,1
berbat şifre değiştirme işlemi yapıyorum uygulamaya giremiyorum saçma sapan bir uygulama turkcell e yakışmıyor yazık tekrar denedim yeter artık şifre hatası vermekten gına geldibir uygulamanızı kullnırsam,4,2021-02-10 13:35:44,1
bokkkkkk gibiiiiiiii sakinnnnn turkcele geçmeyin hasta ettiler yıldızı bile hak etmiyorsunuz,1,2021-02-10 13:03:01,0
iyi,5,2021-02-10 12:59:08,1
uygulama yararlı teşekkürler,5,2021-02-10 12:47:16,1
basarili,5,2021-02-10 12:23:29,1
mukemel,5,2021-02-10 12:06:14,1
güzel,5,2021-02-10 11:44:59,1
iyi,5,2021-02-10 11:30:19,1
şeyi güzel kullanışlı tbrk,5,2021-02-10 11:29:14,1
teşekürler,4,2021-02-10 10:52:13,1
verilen bilgilerin yanıltma saptırma ihtimali var,1,2021-02-10 10:48:40,0
fatura ödedim uygulama basarisiz islem uyarisi verdi tekrar ödeme yaptım kredi kartimdan işlem yapılmış müşteri hizmetlerine ulasiliyo dijital operatorden kendi uygulamalarinin hatasi yüzünden insanlari ugrastiriyolar bi muhatap bulmak zaten basli başına sorun,1,2021-02-10 10:44:18,0
saat tir paket yükleyemiyorum sorunlu,1,2021-02-10 10:44:04,0
ödeme menüsü sade anlaşılır,5,2021-02-10 10:43:24,1
kullanışlı bütün işlemlerimi buradan yapabiliyorum takip edebiliyorum faturalarını buradan ödeyip yıllık ödediğim faturaları bir bir kontrol edebiliyorum paketinin zaman başladığını zaman biteceğini takip edebiliyorum paketinin içeriğini dakikaları interneti sms leri bir bir görebiliyorum istediğim zamn paketimi yükseltebiliyorum eee olsun güzel uygulama indirim derim,5,2021-02-10 10:32:18,1
evet müq bir uygulamaya hoşgeldiniz kendi kendine aşıp sürekli sürekli aydır aynı salla kazan hediyesi saatlik gbgb yetmezmiş saatlik gb verdibaşka bişey yapamadığınız size teşekkür ediyoruminş bi fındık beyninizle düşünüp iyi yerlere gelirsiniz,1,2021-02-10 10:13:42,0
ev internet faturayi odeyecegim yer cikmiyor,1,2021-02-10 09:56:45,0
cok internet veriyor bana belkide haftada gb veriyor ben begenmedim genellikle herkes bundan sikayetci cok internet veriyosunuz,2,2021-02-10 09:39:10,0
özel beğendim,5,2021-02-10 09:28:50,1
güzel,4,2021-02-10 09:13:03,1
güzel,5,2021-02-10 08:26:34,1
güzel,5,2021-02-10 08:18:12,1
iyi bi uygulama turksellilere,5,2021-02-10 04:58:18,1
turkcell kullanmak kesinlikle pişmanlık ankarada anıtkabirde telefonum çekmiyor ilk yaptığım paketim bitmeden diğer paketlerim bitiyor kesinlikle tavsiye etmiyorum,1,2021-02-10 04:50:42,0
mükemmellik,5,2021-02-10 03:53:30,1
zaten ev interneti kullanıyoruzinternet bitti diyip deek ilave göndermek noluyor ben istedim miii lira olan faturam lira geldibunun açıklaması nedir allah aşkına kontrollü fatura olsun muymuş oda lira yansırmışinternet bitince istersem alırım paran varsa alırsın istemeden gönderiyorsun daafatura geçiriyorsunlanet olsun turkcelen iyisi turkcelden kurtulmak yaaaaa,1,2021-02-10 02:50:53,0
berbat,1,2021-02-10 00:44:15,0
polisin numarası,5,2021-02-10 00:15:49,1
,5,2021-02-10 00:00:35,1
mütiş tek kelime mütiş,5,2021-02-09 23:41:15,1
numara uygulama,5,2021-02-09 23:35:50,1
kullanışsız sadelikten uzak,1,2021-02-09 23:23:00,0
kötü,1,2021-02-09 23:19:10,0
turkcell do üzerinden banka kartimla paket yukledim hafta gecerli gb mi yüklemediniz,1,2021-02-09 23:09:46,0
süper,5,2021-02-09 22:56:10,1
mükemmel,5,2021-02-09 22:36:29,1
ibine amk,5,2021-02-09 22:35:04,1
ilk okul çocuğu deneme sınav yapa ma insanların psikolojik durumunun dikkate al,4,2021-02-09 22:24:02,1
güvenilir bir uygulama,5,2021-02-09 22:06:05,1
tessekkür,5,2021-02-09 22:03:28,1
sadece adet paket seçeneği sunuyorlar adam paket sunmazlarsa bye bye,1,2021-02-09 21:46:16,0
mükemmel,4,2021-02-09 21:06:49,1
giremiyorum,1,2021-02-09 20:57:45,0
mobil ödeme nedir bunu kullanmadığımız halde tl kesilmiş hesabımdan üye olunmuş ben yapmadığım halde olunmuş iptalini istiyorum şikayetçiyim hakkımı istiyorum,1,2021-02-09 20:55:07,0
super bir uygulama,5,2021-02-09 20:49:34,1
güzel,5,2021-02-09 20:32:20,1
güzel bir hizmet,5,2021-02-09 20:27:54,1
uygulama superonline fibernet para etmez internet kopup durduğundan sürekli modem güncellemesi müşteri hizmetlerini arıyorum dijital operatörü indirin kendiniz yapın güncellemeyi dediler indirdim hesabımdan kendi internet aboneliğimi tanımlamış olmama rağmen göremiyorum,1,2021-02-09 20:21:52,0
uygulama zaman karma karışık zor giriliyo güzel indiremiyorum,2,2021-02-09 20:19:38,0
çalışmıyor,1,2021-02-09 20:16:46,0
güzel,4,2021-02-09 20:09:28,1
değişmesi kazım,2,2021-02-09 20:03:15,0
süper,5,2021-02-09 20:03:05,1
herşey güzeldi,5,2021-02-09 19:59:57,1
cok memnun kaldım,5,2021-02-09 19:55:38,1
bjk mccoy gördüm,4,2021-02-09 19:54:02,1
haftalık salla kazanı güzel,5,2021-02-09 19:51:07,1
,5,2021-02-09 19:42:59,1
güzel sistem,5,2021-02-09 19:34:17,1
super,5,2021-02-09 19:31:42,1
süper,5,2021-02-09 19:21:45,1
interneti bol salla kazan olsa keske,5,2021-02-09 19:12:52,1
tek kelime berbatsin dijital operatörinternet fatura ödemesi oraya yönlendiriyorsunuz ödemeyi bir türlü yapamıyoruz,1,2021-02-09 19:12:15,0
başarılı bir uygulama olduğunu herkes biliyor,5,2021-02-09 18:59:15,1
super,5,2021-02-09 18:48:17,1
kalite bizden,5,2021-02-09 18:36:45,1
iyi olabilir,4,2021-02-09 18:29:56,1
mükemmel,5,2021-02-09 18:19:06,1
imgeleri zor buluyorum,4,2021-02-09 18:01:46,1
güzel,5,2021-02-09 17:55:53,1
harika,5,2021-02-09 17:52:54,1
tek kelimeyle muq,5,2021-02-09 17:44:37,1
cok güzel,5,2021-02-09 16:58:24,1
mükemmel,5,2021-02-09 15:53:50,1
hesap ekleyeceğim olmuyor adımı doğum tarihimi degistircem olmuyor rezil puan haketmiyor eger güncelleme olursa dediklerimi yaparsanız puan hakedeceksiniz bide eposta eklenmiyor rezil,1,2021-02-09 15:37:50,0
hızlı yararlı bir uygulama,5,2021-02-09 15:23:48,1
hic internet vermiyor haftalık,1,2021-02-09 15:23:07,0
oyle,2,2021-02-09 15:22:20,0
mükemmel,5,2021-02-09 15:17:07,1
internet şifremi değiştirmek istiyorum,5,2021-02-09 15:02:58,1
operatör artık hic iyi degil resmen dolandirildigimi hissetmeye başladım kısa zamanda operatör değişimi yapacağım,1,2021-02-09 15:02:51,0
güzel,5,2021-02-09 14:03:31,1
rezil ettiniz yaw bir pasaj tiriviri cıkarmıssınız bı urune bakacaksın gır cık sil bastan birakın sacmala yı,1,2021-02-09 13:10:30,0
very good,5,2021-02-09 12:45:25,1
güzel,5,2021-02-09 12:33:36,1
süper,5,2021-02-09 12:30:53,1
sacma sapan yorum yapmayin gayet guzel bir uygulama,5,2021-02-09 12:23:29,1
mesut ben türkseli beyndim,5,2021-02-09 12:20:09,1
mükemmel uygulama,5,2021-02-09 09:17:03,1
uygulama verilen bilgiler doğru değildir saptırma payı olabiliyor kullanıcılar dikkat etsin yoksa tuzağın farkında bile olmazsınız,1,2021-02-09 09:08:58,0
mükemmel,5,2021-02-09 08:07:35,1
salla kazan yapamiyorum dijital operator calismiyor yeniden indirmek istedim inmiyor,1,2021-02-09 07:56:18,0
salla kazan,5,2021-02-09 07:22:36,1
sade güzel,5,2021-02-09 04:35:23,1
güzel bir uygulama,5,2021-02-09 03:11:13,1
bir yaramaz hic denemeyin boşa vakit nakit kaybetmeyin hattı taşımıştım fakat yarin tekrar başka operatöre taşıyacak,2,2021-02-09 02:22:40,0
,5,2021-02-09 01:59:28,1
xachh,5,2021-02-09 01:41:07,1
geri butonu ekleyin aptal sisteminizeher seferinde girıs cikis mi yapacağız sistemi kuranıda işten kovunkoskoca firma beyni çalışan insan bulamıyor,1,2021-02-09 01:25:06,0
internetim bitmeden paket aşımı parasını kitliyosınuz hakkım haram olsun,1,2021-02-09 00:45:21,0
açılmıyor sürekli hata veriyor,1,2021-02-09 00:06:53,0
süper,5,2021-02-08 23:57:35,1
pok,1,2021-02-08 23:50:46,0
kötü hediyeler veriyor,2,2021-02-08 23:17:20,0
süper,5,2021-02-08 22:53:00,1
süperrrr,5,2021-02-08 22:24:08,1
herkonuda memnunum yirmi yıldır turkcell koyim,5,2021-02-08 22:22:59,1
mükembel,5,2021-02-08 21:57:36,1
güzel bir uygulama teşekkürler,5,2021-02-08 21:52:52,1
cok guzel,5,2021-02-08 21:50:54,1
ممتاز,5,2021-02-08 21:07:18,1
guzel,5,2021-02-08 20:42:16,1
çokkkkkkkkkk güzellllllllllllllll bayilacam galiba,5,2021-02-08 20:34:20,1
şyi,5,2021-02-08 19:42:23,1
guzel bir uygulama,5,2021-02-08 19:37:32,1
güzel bir kolaylik,4,2021-02-08 19:32:57,1
iyi,5,2021-02-08 19:19:10,1
abi ellerinize sağlık güzel bir uygulama semese yapiyorum orda bana saatlik bir gb geliyor yapiyorum saatlik geliyor yapanin ellerine sağlık güzel bir uygulama ben herkese tavsiye ederim,5,2021-02-08 18:45:23,1
sfigi,5,2021-02-08 18:33:55,1
kullanmadigimiz servisler kullananadigimiz internet paketleri yuksek faturalar ulasilamayan turkcell iletisim merkezi son mesaji okurken ben vodafone a gecmis olacagim,1,2021-02-08 18:15:29,0
süper bir uygulama ben beğendim,5,2021-02-08 17:21:54,1
harika uygulama,5,2021-02-08 17:09:20,1
muhteşem bir uygulama,5,2021-02-08 16:51:09,1
güzel,5,2021-02-08 16:41:07,1
harika bir uygulama tavsiye ederim,5,2021-02-08 16:20:07,1
güzel,5,2021-02-08 16:19:11,1
tm hocam,5,2021-02-08 16:16:42,1
başarılı buluyorum,4,2021-02-08 15:41:57,1
internet vermiyyor şikayetçiyim verirdsede säätlik veriyor,1,2021-02-08 15:32:27,0
iyi,4,2021-02-08 15:13:25,1
cok güzel,5,2021-02-08 15:06:26,1
herseye bakabiliyosunuz super,5,2021-02-08 15:02:54,1
salla kazanda dk verme amk gb ver biraz orro,1,2021-02-08 14:53:13,0
teknik destekte internet hızlandırmaya girdiğimde defasında hata veriyor kötü aldığımıza pişmanız,1,2021-02-08 14:49:23,0
otomatik öde talimatı çalışmadı hat dondurulmuş internetim gitmiş dımdızlak kaldım yolun ortasında,1,2021-02-08 14:46:24,0
güzel bi uygulama,5,2021-02-08 14:33:49,1
teşekkür ederim,4,2021-02-08 14:26:31,1
salla kazan yapamıyorum yapabilirim,1,2021-02-08 14:25:54,0
uygulama cok guzel super,5,2021-02-08 14:16:53,1
tl ödüyoruz hiçbir şekilde faturanıza yansımıyor internet aldığım tl ler internetim tam bir dolandırıcılık işi,1,2021-02-08 14:07:49,0
uygulamada hesabı açamıyorum ikiz uygulama mevcutmu,1,2021-02-08 13:55:37,0
